label,Slice,SumSize
1,"[2335013, 688788, 1102534, 513897, 940757, 92394, 0, 0, 0, 108343, 0, 0, 64, 109009, 0, 0, 0, 41674, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.29369037 0.4482233  0.48405433 0.57959767 0.67260395
 0.67402702 0.75705556 0.91221592 0.91596565 0.92879281 0.92879326
 0.92879371 0.92879417 0.92879462 0.92879507 0.9461355  0.9461355
 0.9461355  0.9461355  0.9461355  0.94613694 0.94614744 0.96359538
 0.96359581 0.96359624 0.96359668 0.96359711 0.96359755 0.96359798
 0.97026644 0.97026687 0.97026731 0.97026774 0.97026817 0.9702686
 0.98323923 0.98496903 0.98496946 0.9849699  0.98497033 0.98497077
 0.9849712  0.99999712 0.99999712 0.99999712 0.99999712 0.99999712
 0.99999718 0.99999935 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2239773, 746111, 1109398, 587513, 641835, 99270, 0, 0, 0, 76846, 0, 0, 0, 32983, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 84085, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.15192494 0.40828862 0.4811906  0.51133305 0.67853153
 0.67854027 0.83291119 0.90851981 0.92251648 0.93857687 0.93857732
 0.93857776 0.9385782  0.93857864 0.93857908 0.93857953 0.95100905
 0.95100905 0.95100905 0.95100905 0.95100905 0.95367002 0.95678569
 0.95900695 0.96122821 0.96344947 0.96567073 0.96789199 0.97011325
 0.97223563 0.97453539 0.97683515 0.97913491 0.98143467 0.98373443
 0.98603419 0.98639392 0.98639436 0.9863948  0.98639524 0.98639569
 0.98639613 0.99999709 0.99999709 0.99999709 0.99999709 0.99999709
 0.99999709 0.99999895 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2243499, 734522, 1135312, 664713, 797375, 99270, 0, 0, 0, 76846, 0, 0, 0, 109009, 0, 0, 0, 41674, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.23261561 0.44762265 0.47922724 0.58470538 0.67345311
 0.6734591  0.7870038  0.91717077 0.93321244 0.93321288 0.93321333
 0.93321378 0.93321422 0.93321467 0.93321512 0.94563092 0.94563092
 0.94563092 0.94563092 0.94563092 0.94563151 0.9633285  0.96434462
 0.96536074 0.96637685 0.96739297 0.96840909 0.9694252  0.96998206
 0.9699825  0.96998294 0.96998338 0.96998382 0.96998426 0.9699847
 0.98482523 0.98482567 0.98482611 0.98482654 0.98482698 0.98482742
 0.99999709 0.99999709 0.99999709 0.99999709 0.99999709 0.99999709
 0.99999795 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[1860111, 1024898, 737992, 462738, 533236, 832027, 88680, 0, 0, 0, 108343, 0, 0, 0, 47098, 0, 0, 0, 41674, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.09965132 0.38564989 0.46122119 0.49678339 0.60380446
 0.67885556 0.67886926 0.7508286  0.84074335 0.93604565 0.9395556
 0.94231849 0.94508138 0.94784427 0.95060716 0.95337005 0.95568868
 0.95684933 0.95800999 0.95917064 0.96033129 0.96149195 0.9626526
 0.96310818 0.96310818 0.96310818 0.96310818 0.96310818 0.96353431
 0.96962191 0.96986873 0.96986917 0.96986961 0.96987006 0.9698705
 0.96987094 0.9847676  0.98476804 0.98476848 0.98476892 0.98476936
 0.9847698  0.98477024 0.99999734 0.99999778 0.99999822 0.99999866
 0.9999991  0.99999954 0.99999998 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2329811, 621874, 1095301, 2, 1507701, 0, 88680, 0, 64, 0, 108343, 0, 0, 0, 47098, 0, 0, 0, 18, 0, 0, 0, 93885, 0, 0, 0, 84085, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.28870639 0.447448   0.47597278 0.50989551 0.68040063
 0.68040084 0.68041252 0.88350258 0.93009571 0.93851952 0.94478038
 0.94478324 0.9447861  0.94478896 0.94479035 0.9447914  0.94479245
 0.96382971 0.96500341 0.9661771  0.96735079 0.96852448 0.96969817
 0.97052665 0.97052665 0.97052665 0.97052665 0.97052677 0.97052798
 0.97052919 0.97052992 0.97053036 0.97053081 0.97053125 0.9705317
 0.97053215 0.97053259 0.98607506 0.98607551 0.98607595 0.9860764
 0.98607685 0.9860773  0.99999713 0.99999758 0.99999803 0.99999848
 0.99999893 0.99999938 0.99999983 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[1714772, 654787, 1158827, 152, 406830, 1014580, 0, 0, 0, 89493, 0, 0, 0, 47098, 0, 0, 0, 41674, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.25013352 0.44204986 0.47161184 0.5076689  0.67983384
 0.67985774 0.68020706 0.75281739 0.92602311 0.94056689 0.94056736
 0.94056783 0.94056829 0.94056876 0.94056922 0.94056969 0.95601065
 0.95716917 0.95832769 0.95948621 0.96064473 0.96180325 0.96286817
 0.96286817 0.96286817 0.96286817 0.96286817 0.96286817 0.96606874
 0.96967246 0.9696729  0.96967335 0.96967379 0.96967424 0.96967468
 0.96967513 0.98629798 0.98859856 0.99089914 0.99319973 0.99550031
 0.9978009  0.99999629 0.9999975  0.99999794 0.99999838 0.99999882
 0.99999926 0.99999971 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2280051, 633325, 1142747, 2, 1503676, 0, 88680, 0, 0, 0, 76846, 0, 0, 0, 32983, 0, 0, 0, 18, 0, 0, 0, 93885, 0, 0, 0, 84085, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.23221476 0.40460588 0.47308666 0.52195563 0.68851311
 0.68851334 0.75871539 0.90462298 0.93777044 0.9377726  0.9536907
 0.95560017 0.95750964 0.9594191  0.96132857 0.96323804 0.965126
 0.96512821 0.96512821 0.96512821 0.96512821 0.9670384  0.96920907
 0.97057973 0.97058017 0.97058062 0.97058106 0.97058151 0.97058196
 0.9705824  0.97058285 0.9705833  0.97058374 0.97058419 0.97058463
 0.97058508 0.98609965 0.98610009 0.98610054 0.98610099 0.98610144
 0.98610188 0.98610233 0.99999702 0.99999702 0.99999702 0.99999702
 0.99999702 0.99999821 0.99999952 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2154249, 689726, 1089328, 45, 617902, 984154, 0, 0, 0, 76846, 0, 64, 0, 49799, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 84085, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.23778191 0.4607369  0.47966875 0.51190484 0.68382255
 0.68382555 0.68911863 0.78173997 0.92030455 0.93739837 0.93739881
 0.93739925 0.9373997  0.93740014 0.93740058 0.93740103 0.94953176
 0.94953483 0.94953791 0.95032661 0.95266322 0.95499984 0.95733645
 0.9574016  0.9574016  0.9574016  0.9574016  0.9574016  0.95740288
 0.97250454 0.97472455 0.97694456 0.97916457 0.98138458 0.98360459
 0.9858246  0.98782434 0.98983314 0.99184194 0.99385074 0.99585954
 0.99786834 0.99987714 0.99999754 0.99999796 0.99999839 0.99999881
 0.99999924 0.99999966 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2287197, 667908, 1125084, 66, 1311030, 282416, 0, 0, 0, 89493, 0, 0, 0, 49799, 0, 0, 0, 41674, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.22828488 0.45537718 0.48820531 0.53942486 0.68022814
 0.68023521 0.68051913 0.80957279 0.93399436 0.9402042  0.94020465
 0.9402051  0.94020555 0.94020601 0.94020646 0.94020691 0.95592407
 0.95714745 0.95837084 0.95959423 0.96081761 0.962041   0.96291662
 0.96291662 0.96291662 0.96291662 0.96291662 0.96291662 0.96771221
 0.96971212 0.96971256 0.96971301 0.96971345 0.9697139  0.96971434
 0.96971479 0.98468881 0.98468925 0.98468969 0.98469013 0.98469058
 0.98469102 0.99999717 0.99999762 0.99999806 0.99999851 0.99999895
 0.99999939 0.99999984 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2760428, 257388, 1100578, 111, 1299527, 102988, 0, 0, 0, 76846, 0, 0, 0, 109009, 0, 0, 0, 90126, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.29388826 0.45909594 0.49339703 0.54412315 0.67368443
 0.67369912 0.68282745 0.8807779  0.91084041 0.92804809 0.92988223
 0.93171638 0.93355053 0.93538467 0.93721882 0.93905297 0.93923347
 0.9392339  0.93923433 0.93923477 0.9392352  0.93923563 0.95644376
 0.95644376 0.95644376 0.95644376 0.95644376 0.95789454 0.96677685
 0.97067332 0.97067375 0.97067418 0.97067462 0.97067505 0.97067548
 0.97067592 0.98517471 0.98517514 0.98517557 0.985176   0.98517642
 0.98517685 0.99999726 0.99999768 0.9999981  0.99999852 0.99999894
 0.99999937 0.99999979 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
